ID: tm4726 | Título: 'Fast and Furious' | Ano de lançamento: 2001 | Gêneros: 'action,comedy' | Avaliação IMDB: 9.8
ID: ts192297 | Título: 'Morphle' | Ano de lançamento: 2019 | Gêneros: '['animation', 'family']' | Avaliação IMDB: 5.199999809265137
ID: ts192440 | Título: 'Garth Brooks: The Road I'm On' | Ano de lançamento: 2019 | Gêneros: '['documentation', 'reality']' | Avaliação IMDB: 7.400000095367432
ID: ts19779 | Título: 'Barbie: Life in the Dreamhouse' | Ano de lançamento: 2012 | Gêneros: '['family', 'animation', 'comedy']' | Avaliação IMDB: 7.400000095367432
ID: ts20014 | Título: 'Sailor Moon Crystal' | Ano de lançamento: 2014 | Gêneros: '['animation', 'scifi', 'fantasy', 'romance', 'action', 'comedy', 'drama', 'family']' | Avaliação IMDB: 7.800000190734863
ID: ts20097 | Título: 'Hemlock Grove' | Ano de lançamento: 2013 | Gêneros: '['thriller', 'scifi', 'drama', 'fantasy', 'horror']' | Avaliação IMDB: 7.0
ID: ts20108 | Título: 'Henry Danger' | Ano de lançamento: 2014 | Gêneros: '['comedy', 'family', 'action', 'scifi', 'thriller', 'drama']' | Avaliação IMDB: 5.599999904632568
ID: ts20110 | Título: 'Peaky Blinders' | Ano de lançamento: 2013 | Gêneros: '['crime', 'drama', 'european']' | Avaliação IMDB: 8.800000190734863
ID: ts20238 | Título: 'Boss & Me' | Ano de lançamento: 2014 | Gêneros: '['comedy', 'romance']' | Avaliação IMDB: 7.300000190734863
ID: ts20248 | Título: 'Reign' | Ano de lançamento: 2013 | Gêneros: '['drama', 'fantasy', 'history']' | Avaliação IMDB: 7.5
ID: ts20261 | Título: 'Madam Secretary' | Ano de lançamento: 2014 | Gêneros: '['war', 'thriller', 'drama']' | Avaliação IMDB: 7.599999904632568
ID: ts20280 | Título: 'Marco Polo' | Ano de lançamento: 2014 | Gêneros: '['action', 'drama', 'history', 'documentation']' | Avaliação IMDB: 8.0
ID: ts20281 | Título: 'Sofia the First' | Ano de lançamento: 2013 | Gêneros: '['animation', 'family', 'fantasy']' | Avaliação IMDB: 6.800000190734863
ID: ts20288 | Título: 'From Dusk Till Dawn: The Series' | Ano de lançamento: 2014 | Gêneros: '['scifi', 'action', 'crime', 'fantasy', 'horror']' | Avaliação IMDB: 6.900000095367432
ID: ts20292 | Título: 'Gotham' | Ano de lançamento: 2014 | Gêneros: '['drama', 'scifi', 'thriller', 'action', 'crime']' | Avaliação IMDB: 7.800000190734863
ID: ts20305 | Título: 'Naruto' | Ano de lançamento: 2002 | Gêneros: '['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']' | Avaliação IMDB: 8.399999618530273
ID: ts20336 | Título: 'Velvet' | Ano de lançamento: 2014 | Gêneros: '['drama', 'romance', 'thriller', 'action', 'crime', 'european']' | Avaliação IMDB: 8.100000381469727
ID: ts20339 | Título: 'One Piece' | Ano de lançamento: 1999 | Gêneros: '['animation', 'action', 'comedy', 'drama', 'fantasy']' | Avaliação IMDB: 8.800000190734863
ID: ts20351 | Título: 'Married at First Sight' | Ano de lançamento: 2014 | Gêneros: '['reality', 'romance', 'european']' | Avaliação IMDB: 6.099999904632568
ID: ts20371 | Título: 'Top Gear' | Ano de lançamento: 2002 | Gêneros: '['comedy', 'reality', 'european', 'music']' | Avaliação IMDB: 8.699999809265137
ID: ts20429 | Título: 'Sword Art Online' | Ano de lançamento: 2012 | Gêneros: '['scifi', 'action', 'animation', 'drama', 'western', 'fantasy', 'thriller', 'romance', 'comedy']' | Avaliação IMDB: 7.599999904632568
ID: ts20433 | Título: 'JoJo's Bizarre Adventure' | Ano de lançamento: 2012 | Gêneros: '['scifi', 'animation', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'thriller']' | Avaliação IMDB: 8.399999618530273
ID: ts20457 | Título: 'The Legend of Korra' | Ano de lançamento: 2012 | Gêneros: '['animation', 'drama', 'family', 'scifi', 'action', 'fantasy', 'comedy']' | Avaliação IMDB: 8.399999618530273
ID: ts20458 | Título: 'Ninjago: Masters of Spinjitzu' | Ano de lançamento: 2012 | Gêneros: '['animation', 'comedy', 'family', 'scifi', 'action', 'fantasy', 'european']' | Avaliação IMDB: 7.300000190734863
ID: ts20500 | Título: 'Lilyhammer' | Ano de lançamento: 2012 | Gêneros: '['comedy', 'crime', 'drama']' | Avaliação IMDB: 7.900000095367432
ID: ts20526 | Título: 'The Game' | Ano de lançamento: 2006 | Gêneros: '['drama', 'comedy', 'romance', 'sport']' | Avaliação IMDB: 6.599999904632568
ID: ts20535 | Título: 'The Garfield Show' | Ano de lançamento: 2009 | Gêneros: '['animation', 'comedy', 'family', 'european']' | Avaliação IMDB: 5.400000095367432
ID: ts20544 | Título: 'Ouran High School Host Club' | Ano de lançamento: 2006 | Gêneros: '['comedy', 'drama', 'animation', 'romance']' | Avaliação IMDB: 8.199999809265137
ID: ts20556 | Título: 'Teen Mom 2' | Ano de lançamento: 2011 | Gêneros: '['reality', 'romance', 'documentation', 'comedy']' | Avaliação IMDB: 4.5
ID: ts20564 | Título: 'New Girl' | Ano de lançamento: 2011 | Gêneros: '['comedy', 'romance']' | Avaliação IMDB: 7.699999809265137
ID: ts20573 | Título: 'The IT Crowd' | Ano de lançamento: 2006 | Gêneros: '['comedy', 'european']' | Avaliação IMDB: 8.5
ID: ts20604 | Título: 'Friday Night Lights' | Ano de lançamento: 2006 | Gêneros: '['drama', 'sport']' | Avaliação IMDB: 8.699999809265137
ID: ts20660 | Título: 'Shameless' | Ano de lançamento: 2011 | Gêneros: '['drama', 'comedy']' | Avaliação IMDB: 8.600000381469727
ID: ts20678 | Título: 'Saved by the Bell' | Ano de lançamento: 1989 | Gêneros: '['family', 'comedy', 'romance']' | Avaliação IMDB: 7.099999904632568
ID: ts20681 | Título: 'Seinfeld' | Ano de lançamento: 1989 | Gêneros: '['comedy']' | Avaliação IMDB: 8.899999618530273
ID: ts20682 | Título: 'Attack on Titan' | Ano de lançamento: 2013 | Gêneros: '['action', 'scifi', 'animation', 'horror', 'drama', 'fantasy']' | Avaliação IMDB: 9.0
ID: ts20709 | Título: 'Yowamushi Pedal' | Ano de lançamento: 2013 | Gêneros: '['comedy', 'animation', 'drama', 'sport']' | Avaliação IMDB: 7.699999809265137
ID: ts20781 | Título: 'Incomplete Life' | Ano de lançamento: 2014 | Gêneros: '['comedy', 'drama']' | Avaliação IMDB: 8.5
ID: ts20790 | Título: 'Young & Hungry' | Ano de lançamento: 2014 | Gêneros: '['comedy', 'drama', 'romance']' | Avaliação IMDB: 7.300000190734863
ID: ts20791 | Título: 'Z Nation' | Ano de lançamento: 2014 | Gêneros: '['action', 'comedy', 'drama', 'horror', 'romance', 'scifi']' | Avaliação IMDB: 6.599999904632568
ID: ts20823 | Título: 'Orange Is the New Black' | Ano de lançamento: 2013 | Gêneros: '['drama', 'comedy', 'crime']' | Avaliação IMDB: 8.100000381469727
ID: ts20824 | Título: 'The Originals' | Ano de lançamento: 2013 | Gêneros: '['scifi', 'drama', 'fantasy', 'horror']' | Avaliação IMDB: 8.300000190734863
ID: ts20837 | Título: 'Outlander' | Ano de lançamento: 2014 | Gêneros: '['scifi', 'romance', 'drama', 'fantasy']' | Avaliação IMDB: 8.399999618530273
ID: ts20883 | Título: 'Nicky, Ricky, Dicky & Dawn' | Ano de lançamento: 2014 | Gêneros: '['family', 'comedy']' | Avaliação IMDB: 5.099999904632568
ID: ts20918 | Título: 'The Parkers' | Ano de lançamento: 1999 | Gêneros: '['comedy']' | Avaliação IMDB: 6.800000190734863
ID: ts20939 | Título: 'Moesha' | Ano de lançamento: 1996 | Gêneros: '['drama', 'comedy', 'family']' | Avaliação IMDB: 5.800000190734863
ID: ts20960 | Título: 'Power Rangers' | Ano de lançamento: 1993 | Gêneros: '['action', 'scifi', 'fantasy', 'family']' | Avaliação IMDB: 6.5
ID: ts20981 | Título: 'Survivor' | Ano de lançamento: 2000 | Gêneros: '['reality']' | Avaliação IMDB: 7.400000095367432
